City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
72,havoysund,75.0,NO,1621177072.0,100.0,70.9963,24.6622,33.8,10.36
73,deputatskiy,100.0,RU,1621177077.0,97.0,69.3,139.9,24.04,3.47
74,yuryev-polskiy,41.0,RU,1621177082.0,73.0,56.5,39.6833,65.57,11.77
75,saint-joseph,0.0,RE,1621177088.0,73.0,-21.3667,55.6167,74.57,3.44
76,bengkulu,100.0,ID,1621177093.0,90.0,-3.8004,102.2655,78.17,5.88
77,japura,100.0,ID,1621177098.0,97.0,-0.3167,102.35,76.19,3.38
78,lazarev,13.0,RU,1621177103.0,83.0,52.225,141.5131,34.05,6.71
79,georgetown,20.0,MY,1621176961.0,89.0,5.4112,100.3354,83.52,6.91
80,ushuaia,40.0,AR,1621177114.0,65.0,-54.8,-68.3,44.6,5.75
81,mao,0.0,ES,1621177119.0,50.0,39.8885,4.2658,77.0,10.36
82,westport,1.0,US,1621176943.0,45.0,41.1415,-73.3579,68.92,6.91
83,atuona,2.0,PF,1621177129.0,67.0,-9.8,-139.0333,78.87,15.95
84,eyl,100.0,SO,1621177134.0,53.0,7.9803,49.8164,90.72,19.08
85,dunedin,51.0,NZ,1621177140.0,84.0,-45.8742,170.5036,44.01,1.99
86,toktogul,4.0,KG,1621177145.0,44.0,41.8708,72.9402,60.48,3.02
87,lata,75.0,PT,1621177150.0,94.0,40.1629,-8.3327,67.32,8.05
88,quarai,100.0,BR,1621177156.0,56.0,-30.3875,-56.4514,67.6,2.42
89,longyearbyen,20.0,SJ,1621177161.0,63.0,78.2186,15.6401,24.8,3.44
90,caravelas,100.0,BR,1621177166.0,54.0,-17.7125,-39.2481,79.29,8.7
91,berea,90.0,US,1621177093.0,42.0,41.3662,-81.8543,63.03,3.44
92,ajdabiya,35.0,LY,1621177176.0,53.0,30.7554,20.2263,71.74,19.44
93,grand baie,11.0,MU,1621177182.0,70.0,-20.0182,57.5802,78.01,5.99
94,marsh harbour,96.0,BS,1621177187.0,67.0,26.5412,-77.0636,75.58,18.21
95,amapa,100.0,BR,1621177192.0,84.0,1.0,-52.0,76.6,2.91
96,turinskaya sloboda,67.0,RU,1621177197.0,29.0,57.6232,64.3858,81.07,10.11
97,yulara,2.0,AU,1621177209.0,54.0,-25.2406,130.9889,51.8,6.91
98,novouzensk,17.0,RU,1621177214.0,36.0,50.4592,48.1431,83.37,8.34
99,gijon,100.0,ES,1621177020.0,59.0,43.5357,-5.6615,61.86,8.99
100,middle island,1.0,US,1621177225.0,37.0,40.8843,-72.9373,66.51,6.91
101,misratah,0.0,LY,1621177230.0,42.0,32.3754,15.0925,75.04,11.61
102,shimoda,100.0,JP,1621177235.0,91.0,34.6667,138.95,65.03,7.96
103,klaksvik,75.0,FO,1621177241.0,81.0,62.2266,-6.5889999999999995,50.0,11.5
104,kavaratti,100.0,IN,1621177246.0,80.0,10.5669,72.642,83.34,20.09
105,saint-leu,0.0,RE,1621177251.0,73.0,-21.15,55.2833,74.77,3.44
106,nikolskoye,40.0,RU,1621177262.0,52.0,59.7035,30.7861,62.42,11.18
